,Population 2012,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Ranking,,Economy,(thousands),,,,,,
,,,,,,,,,,
MRT,130,,Mauritania,"3,796",,,,,,
PRI,131,,Puerto Rico,"3,667",,,,,,
MDA,132,,Moldova,"3,560",b,,,,,
URY,133,,Uruguay,"3,395",,,,,,
OMN,134,,Oman,"3,314",,,,,,
KWT,135,,Kuwait,"3,250",,,,,,
ALB,136,,Albania,"3,162",,,,,,
LTU,137,,Lithuania,"2,986",,,,,,
ARM,138,,Armenia,"2,969",,,,,,
MNG,139,,Mongolia,"2,796",,,,,,
JAM,140,,Jamaica,"2,712",,,,,,
NAM,141,,Namibia,"2,259",,,,,,
MKD,142,,"Macedonia, FYR","2,106",,,,,,
SVN,143,,Slovenia,"2,058",,,,,,
LSO,144,,Lesotho,"2,052",,,,,,
QAT,145,,Qatar,"2,051",,,,,,
LVA,146,,Latvia,"2,025",,,,,,
BWA,147,,Botswana,"2,004",,,,,,
KSV,148,,Kosovo,"1,806",,,,,,
GMB,149,,"Gambia, The","1,791",,,,,,
GNB,150,,Guinea-Bissau,"1,664",,,,,,
GAB,151,,Gabon,"1,633",,,,,,
EST,152,,Estonia,"1,339",,,,,,
TTO,153,,Trinidad and Tobago,"1,337",,,,,,
BHR,154,,Bahrain,"1,318",,,,,,
MUS,155,,Mauritius,"1,291",,,,,,
SWZ,156,,Swaziland,"1,231",,,,,,
TMP,157,,Timor-Leste,"1,210",,,,,,
CYP,158,,Cyprus,"1,129",,,,,,
FJI,159,,Fiji,875,,,,,,
DJI,160,,Djibouti,860,,,,,,
GUY,161,,Guyana,795,,,,,,
BTN,162,,Bhutan,742,,,,,,
GNQ,163,,Equatorial Guinea,736,,,,,,
COM,164,,Comoros,718,,,,,,
MNE,165,,Montenegro,621,,,,,,
MAC,166,,"Macao SAR, China",557,,,,,,
SLB,167,,Solomon Islands,550,,,,,,
SUR,168,,Suriname,535,,,,,,
LUX,169,,Luxembourg,531,,,,,,
CPV,170,,Cape Verde,494,,,,,,
MLT,171,,Malta,418,,,,,,
BRN,172,,Brunei Darussalam,412,,,,,,
BHS,173,,"Bahamas, The",372,,,,,,
MDV,174,,Maldives,338,,,,,,
BLZ,175,,Belize,324,,,,,,
ISL,176,,Iceland,320,,,,,,
BRB,177,,Barbados,283,,,,,,
PYF,178,,French Polynesia,274,,,,,,
NCL,179,,New Caledonia,258,,,,,,
VUT,180,,Vanuatu,247,,,,,,
WSM,181,,Samoa,189,,,,,,
STP,182,,São Tomé and Principe,188,,,,,,
LCA,183,,St. Lucia,181,,,,,,
GUM,184,,Guam,163,,,,,,
CHI,185,,Channel Islands,161,,,,,,
CUW,186,,Curaçao,152,,,,,,
VCT,187,,St. Vincent and the Grenadines,109,,,,,,
GRD,188,,Grenada,105,,,,,,
VIR,189,,Virgin Islands (U.S.),105,,,,,,
TON,190,,Tonga,105,,,,,,
FSM,191,,"Micronesia, Fed. Sts.",103,,,,,,
ABW,192,,Aruba,102,,,,,,
KIR,193,,Kiribati,101,,,,,,
ATG,194,,Antigua and Barbuda,89,,,,,,
SYC,195,,Seychelles,88,,,,,,
IMY,196,,Isle of Man,85,,,,,,
ADO,197,,Andorra,78,,,,,,
DMA,198,,Dominica,72,,,,,,
BMU,199,,Bermuda,65,,,,,,
CYM,200,,Cayman Islands,58,,,,,,
GRL,201,,Greenland,57,,,,,,
ASM,202,,American Samoa,55,,,,,,
KNA,203,,St. Kitts and Nevis,54,,,,,,
MNP,204,,Northern Mariana Islands,53,,,,,,
MHL,205,,Marshall Islands,53,,,,,,
FRO,206,,Faeroe Islands,50,,,,,,
SXM,207,,Sint Maarten (Dutch part),39,,,,,,
MCO,208,,Monaco,38,,,,,,
LIE,209,,Liechtenstein,37,,,,,,
TCA,210,,Turks and Caicos Islands,32,,,,,,
SMR,211,,San Marino,31,,,,,,
MAF,212,,St. Martin (French part),31,,,,,,
PLW,213,,Palau,21,,,,,,
TUV,214,,Tuvalu,10,,,,,,
,,,,,,,,,,
WLD,,,World,"7,046,369",,,,,,
,,,,,,,,,,
LIC,,,Low income,"846,455",,,,,,
MIC,,,Middle income,"4,897,806",,,,,,
LMC,,,  Lower middle income,"2,507,012",,,,,,
UMC,,,  Upper middle income,"2,390,794",,,,,,
LMY,,,Low & middle income,"5,744,261",,,,,,
EAP,,,  East Asia & Pacific,"1,991,619",,,,,,
ECA,,,  Europe & Central Asia,"272,059",,,,,,
LAC,,,  Latin America & Caribbean,"581,384",,,,,,
MNA,,,  Middle East & North Africa,"339,561",,,,,,
SAS,,,  South Asia,"1,649,249",,,,,,
SSA,,,  Sub-Saharan Africa,"910,390",,,,,,
HIC,,,High income,"1,302,108",,,,,,
EMU,,,  Euro area,"333,791",,,,,,
,,,,,,,,,,
,a. Excludes Abkhazia and South Ossetia.  b. Excludes Transnistria.,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
