,"Gross national income per capita 2012, Atlas method and PPP",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Purchasing,,,,,,,
,,,,Atlas,,,,,,power parity,,,,,,,
,,,,methodology,,,,,,(international,,,,,,,
,Ranking,,Economy,(US dollars),,,Ranking,,Economy,dollars),,,,,,,
,,,,,,,,,,,,,,,,,
RUS,72,,Russian Federation,"12,700",,,83,,Botswana,"16,060",,,BWA,,,,
POL,74,,Poland,"12,660",,,85,,Bulgaria,"15,450",,,BGR,,,,
ATG,75,,Antigua and Barbuda,"12,480",,,87,,Uruguay,"15,310",,,URY,,,,
VEN,76,,"Venezuela, RB","12,460",,,88,,Panama,"15,150",b,,PAN,,,,
HUN,77,,Hungary,"12,380",,,89,,Mauritius,"15,060",,,MUS,,,,
SYC,78,,Seychelles,"12,260",,,90,,Belarus,"14,960",,,BLR,,,,
BRA,79,,Brazil,"11,630",,,91,,Montenegro,"14,590",,,MNE,,,,
TUR,80,,Turkey,"10,830",,,92,,Lebanon,"14,160",,,LBN,,,,
GAB,83,,Gabon,"10,040",,,93,,Gabon,"14,090",,,GAB,,,,
PLW,85,,Palau,"9,860",,,94,,"Venezuela, RB","12,920",,,VEN,,,,
MYS,86,,Malaysia,"9,820",,,95,,Costa Rica,"12,500",b,,CRI,,,,
KAZ,87,,Kazakhstan,"9,780",,,96,,Dominica,"11,980",b,,DMA,,,,
MEX,88,,Mexico,"9,640",,,97,,Kazakhstan,"11,780",,,KAZ,,,,
LBN,89,,Lebanon,"9,190",,,98,,"Macedonia, FYR","11,540",,,MKD,,,,
CRI,90,,Costa Rica,"8,820",,,99,,Brazil,"11,530",,,BRA,,,,
ROM,90,,Romania,"8,820",,,100,,Serbia,"11,430",,,SRB,,,,
SUR,92,,Suriname,"8,680",,,101,,St. Lucia,"11,300",b,,LCA,,,,
MUS,93,,Mauritius,"8,570",,,102,,South Africa,"11,010",,,ZAF,,,,
PAN,94,,Panama,"8,510",,,103,,St. Vincent and the Grenadines,"10,870",b,,VCT,,,,
BWA,95,,Botswana,"7,650",,,105,,Grenada,"10,350",b,,GRD,,,,
ZAF,96,,South Africa,"7,610",,,106,,Peru,"10,090",,,PER,,,,
GRD,97,,Grenada,"7,220",,,107,,Colombia,"9,990",,,COL,,,,
MNE,97,,Montenegro,"7,220",,,109,,Dominican Republic,"9,660",b,,DOM,,,,
COL,99,,Colombia,"7,020",,,110,,Bosnia and Herzegovina,"9,650",,,BIH,,,,
LCA,100,,St. Lucia,"6,890",,,111,,Ecuador,"9,490",,,ECU,,,,
BGR,101,,Bulgaria,"6,840",,,112,,Azerbaijan,"9,310",,,AZE,,,,
BLR,102,,Belarus,"6,530",,,113,,Albania,"9,280",,,ALB,,,,
DMA,103,,Dominica,"6,440",,,113,,Thailand,"9,280",,,THA,,,,
VCT,104,,St. Vincent and the Grenadines,"6,400",,,115,,Tunisia,"9,210",,,TUN,,,,
AZE,105,,Azerbaijan,"6,220",,,116,,Turkmenistan,"9,070",b,,TKM,,,,
PER,106,,Peru,"6,060",,,117,,China,"9,040",,,CHN,,,,
CUB,108,,Cuba,"5,890",a,,119,,Armenia,"8,820",,,ARM,,,,
IRQ,109,,Iraq,"5,870",,,120,,Suriname,"8,380",b,,SUR,,,,
MDV,110,,Maldives,"5,750",,,122,,Algeria,"8,360",b,,DZA,,,,
CHN,111,,China,"5,720",,,123,,Belize,"7,630",b,,BLZ,,,,
TUV,112,,Tuvalu,"5,650",,,124,,Maldives,"7,560",,,MDV,,,,
NAM,113,,Namibia,"5,610",,,125,,Namibia,"7,240",,,NAM,,,,
DOM,114,,Dominican Republic,"5,470",,,126,,Ukraine,"7,180",,,UKR,,,,
